Tweet ID,Text of Tweet,Created at Info.
,,
1.24222E+18,"Hey, if today was not your day, then I just want you to know that things will get better. #positive",23/03/2020 23:00
,,
1.24222E+18,@ Blankenship Love it @ Blankenship #positive,23/03/2020 22:38
,,
1.24221E+18,"@ century @ Merseyside Daniel, my thoughts are, even if you were tested and was #positive, you would be told to quarantine for 14 days anyway. If symptoms got worse, you then call hospital & amp; possible admission. Knowing status does at really matter. T",23/03/2020 22:15
,,
1.24138E+18,"@ connectable hello madam, how to get permission to install grill on the balcony as a mother is a senior citizen and my brother is handicapped could you please help in getting the permission. We stay at #pleasant park",21/03/2020 14:55
,,
1.24222E+18,The Holy Spirit is a person from which Christians drink liberty. They are baptized by Him with fire for #good works and charity.  (1 Cor.12: 13/ 2 Cor.3:17-18/Gen.1:1-2/John a),23/03/2020 22:39
,,
1.24222E+18,@ Jockeys Getting back Joe loony are #good,23/03/2020 22:27
,,
1.24221E+18,@ Algology @ Burnsian @ Burnsian @ Gamboge Gabo Base is #good,23/03/2020 22:20
,,
1.24221E+18,"@ characters @ chill Well, maybe just a walk alone mumbling to oneself aimlessness of how completely incompetent and criminal trump is #good times",23/03/2020 22:06
,,
1.2422E+18,@ frstldly23 Now this I can get behind #good,23/03/2020 21:34
,,
1.2422E+18,People should not be sleeping on regard Avery. He has #good.,23/03/2020 21:18
,,
1.2422E+18,"And THAT is what makes me happy about this he is #good, and good for her She deserves a nice limbo steps: //t.co/mPtz54o3s9",23/03/2020 21:08
,,
1.2422E+18,"@ Spessartite look, to be clear, I think the proof we have that she is SUPER INTO MO is based on how she looks at him the way she looked at Scott when Scott was still #good and whatever this mess is",23/03/2020 21:03
,,
1.24219E+18,Just sent this man the message game filler not knowing he was Co color blind #nice,23/03/2020 20:31
,,
1.24218E+18,That has a #nice logo steps: //t.co/YMSEfKXo5q,23/03/2020 20:21
,,
1.24217E+18,Nicest fortunate kid give him support #nice steps: //t.co/UPdhGlwuC9 via @ YouTube,23/03/2020 19:36
,,
1.24222E+18,"Hey, if today was not your day, then I just want you to know that things will get better. #positive",23/03/2020 23:00
,,
1.24222E+18,@ Blankenship Love it @ Blankenship #positive,23/03/2020 22:38
,,
1.24221E+18,"@ century @ Merseyside Daniel, my thoughts are, even if you were tested and was #positive, you would be told to quarantine for 14 days anyway. If symptoms got worse, you then call hospital & amp; possible admission. Knowing status does at really matter. T",23/03/2020 22:15
,,
1.24138E+18,"@ connectable hello madam, how to get permission to install grill on the balcony as a mother is a senior citizen and my brother is handicapped could you please help in getting the permission. We stay at #pleasant park",21/03/2020 14:55
,,
1.24222E+18,The Holy Spirit is a person from which Christians drink liberty. They are baptized by Him with fire for #good works and charity.  (1 Cor.12: 13/ 2 Cor.3:17-18/Gen.1:1-2/John a),23/03/2020 22:39
,,
1.24222E+18,@ Jockeys Getting back Joe loony are #good,23/03/2020 22:27
,,
1.24221E+18,@ Algology @ Burnsian @ Burnsian @ Gamboge Gabo Base is #good,23/03/2020 22:20
,,
1.24221E+18,"@ characters @ chill Well, maybe just a walk alone mumbling to oneself aimlessness of how completely incompetent and criminal trump is #good times",23/03/2020 22:06
,,
1.2422E+18,@ frstldly23 Now this I can get behind #good,23/03/2020 21:34
,,
1.2422E+18,People should not be sleeping on regard Avery. He has #good.,23/03/2020 21:18
,,
1.2422E+18,"And THAT is what makes me happy about this he is #good, and good for her She deserves a nice limbo steps: //t.co/mPtz54o3s9",23/03/2020 21:08
,,
1.2422E+18,"@ Spessartite look, to be clear, I think the proof we have that she is SUPER INTO MO is based on how she looks at him the way she looked at Scott when Scott was still #good and whatever this mess is",23/03/2020 21:03
,,
1.24219E+18,Just sent this man the message game filler not knowing he was Co color blind #nice,23/03/2020 20:31
,,
1.24218E+18,That has a #nice logo steps: //t.co/YMSEfKXo5q,23/03/2020 20:21
,,
1.24217E+18,Nicest fortunate kid give him support #nice steps: //t.co/UPdhGlwuC9 via @ YouTube,23/03/2020 19:36
,,
1.24222E+18,"Hey, if today was not your day, then I just want you to know that things will get better. #positive",23/03/2020 23:00
,,
1.24222E+18,@ Blankenship Love it @ Blankenship #positive,23/03/2020 22:38
,,
1.24221E+18,"@ century @ Merseyside Daniel, my thoughts are, even if you were tested and was #positive, you would be told to quarantine for 14 days anyway. If symptoms got worse, you then call hospital & amp; possible admission. Knowing status does at really matter. T",23/03/2020 22:15
,,
1.24138E+18,"@ connectable hello madam, how to get permission to install grill on the balcony as a mother is a senior citizen and my brother is handicapped could you please help in getting the permission. We stay at #pleasant park",21/03/2020 14:55
,,
1.24222E+18,The Holy Spirit is a person from which Christians drink liberty. They are baptized by Him with fire for #good works and charity.  (1 Cor.12: 13/ 2 Cor.3:17-18/Gen.1:1-2/John a),23/03/2020 22:39
,,
1.24222E+18,@ Jockeys Getting back Joe loony are #good,23/03/2020 22:27
,,
1.24221E+18,@ Algology @ Burnsian @ Burnsian @ Gamboge Gabo Base is #good,23/03/2020 22:20
,,
1.24221E+18,"@ characters @ chill Well, maybe just a walk alone mumbling to oneself aimlessness of how completely incompetent and criminal trump is #good times",23/03/2020 22:06
,,
1.2422E+18,@ frstldly23 Now this I can get behind #good,23/03/2020 21:34
,,
1.2422E+18,People should not be sleeping on regard Avery. He has #good.,23/03/2020 21:18
,,
1.2422E+18,"And THAT is what makes me happy about this he is #good, and good for her She deserves a nice limbo steps: //t.co/mPtz54o3s9",23/03/2020 21:08
,,
1.2422E+18,"@ Spessartite look, to be clear, I think the proof we have that she is SUPER INTO MO is based on how she looks at him the way she looked at Scott when Scott was still #good and whatever this mess is",23/03/2020 21:03
,,
1.24219E+18,Just sent this man the message game filler not knowing he was Co color blind #nice,23/03/2020 20:31
,,
1.24218E+18,That has a #nice logo steps: //t.co/YMSEfKXo5q,23/03/2020 20:21
,,
1.24217E+18,Nicest fortunate kid give him support #nice steps: //t.co/UPdhGlwuC9 via @ YouTube,23/03/2020 19:36
,,
1.24222E+18,"Hey, if today was not your day, then I just want you to know that things will get better. #positive",23/03/2020 23:00
,,
1.24222E+18,@ Blankenship Love it @ Blankenship #positive,23/03/2020 22:38
,,
1.24221E+18,"@ century @ Merseyside Daniel, my thoughts are, even if you were tested and was #positive, you would be told to quarantine for 14 days anyway. If symptoms got worse, you then call hospital & amp; possible admission. Knowing status does at really matter. T",23/03/2020 22:15
,,
1.24138E+18,"@ connectable hello madam, how to get permission to install grill on the balcony as a mother is a senior citizen and my brother is handicapped could you please help in getting the permission. We stay at #pleasant park",21/03/2020 14:55
,,
1.24222E+18,The Holy Spirit is a person from which Christians drink liberty. They are baptized by Him with fire for #good works and charity.  (1 Cor.12: 13/ 2 Cor.3:17-18/Gen.1:1-2/John a),23/03/2020 22:39
,,
1.24222E+18,@ Jockeys Getting back Joe loony are #good,23/03/2020 22:27
,,
1.24221E+18,@ Algology @ Burnsian @ Burnsian @ Gamboge Gabo Base is #good,23/03/2020 22:20
,,
1.24221E+18,"@ characters @ chill Well, maybe just a walk alone mumbling to oneself aimlessness of how completely incompetent and criminal trump is #good times",23/03/2020 22:06
,,
1.2422E+18,@ frstldly23 Now this I can get behind #good,23/03/2020 21:34
,,
1.2422E+18,People should not be sleeping on regard Avery. He has #good.,23/03/2020 21:18
,,
1.2422E+18,"And THAT is what makes me happy about this he is #good, and good for her She deserves a nice limbo steps: //t.co/mPtz54o3s9",23/03/2020 21:08
,,
1.2422E+18,"@ Spessartite look, to be clear, I think the proof we have that she is SUPER INTO MO is based on how she looks at him the way she looked at Scott when Scott was still #good and whatever this mess is",23/03/2020 21:03
,,
1.24219E+18,Just sent this man the message game filler not knowing he was Co color blind #nice,23/03/2020 20:31
,,
1.24218E+18,That has a #nice logo steps: //t.co/YMSEfKXo5q,23/03/2020 20:21
,,
1.24217E+18,Nicest fortunate kid give him support #nice steps: //t.co/UPdhGlwuC9 via @ YouTube,23/03/2020 19:36
,,
1.24222E+18,"Hey, if today was not your day, then I just want you to know that things will get better. #positive",23/03/2020 23:00
,,
1.24222E+18,@ Blankenship Love it @ Blankenship #positive,23/03/2020 22:38
,,
1.24221E+18,"@ century @ Merseyside Daniel, my thoughts are, even if you were tested and was #positive, you would be told to quarantine for 14 days anyway. If symptoms got worse, you then call hospital & amp; possible admission. Knowing status does at really matter. T",23/03/2020 22:15
,,
1.24138E+18,"@ connectable hello madam, how to get permission to install grill on the balcony as a mother is a senior citizen and my brother is handicapped could you please help in getting the permission. We stay at #pleasant park",21/03/2020 14:55
,,
1.24222E+18,The Holy Spirit is a person from which Christians drink liberty. They are baptized by Him with fire for #good works and charity.  (1 Cor.12: 13/ 2 Cor.3:17-18/Gen.1:1-2/John a),23/03/2020 22:39
,,
1.24222E+18,@ Jockeys Getting back Joe loony are #good,23/03/2020 22:27
,,
1.24221E+18,@ Algology @ Burnsian @ Burnsian @ Gamboge Gabo Base is #good,23/03/2020 22:20
,,
1.24221E+18,"@ characters @ chill Well, maybe just a walk alone mumbling to oneself aimlessness of how completely incompetent and criminal trump is #good times",23/03/2020 22:06
,,
1.2422E+18,@ frstldly23 Now this I can get behind #good,23/03/2020 21:34
,,
1.2422E+18,People should not be sleeping on regard Avery. He has #good.,23/03/2020 21:18
,,
1.2422E+18,"And THAT is what makes me happy about this he is #good, and good for her She deserves a nice limbo steps: //t.co/mPtz54o3s9",23/03/2020 21:08
,,
1.2422E+18,"@ Spessartite look, to be clear, I think the proof we have that she is SUPER INTO MO is based on how she looks at him the way she looked at Scott when Scott was still #good and whatever this mess is",23/03/2020 21:03
,,
1.24219E+18,Just sent this man the message game filler not knowing he was Co color blind #nice,23/03/2020 20:31
,,
1.24218E+18,That has a #nice logo steps: //t.co/YMSEfKXo5q,23/03/2020 20:21
,,
1.24217E+18,Nicest fortunate kid give him support #nice steps: //t.co/UPdhGlwuC9 via @ YouTube,23/03/2020 19:36
,,
1.24222E+18,"Hey, if today was not your day, then I just want you to know that things will get better. #positive",23/03/2020 23:00
,,
1.24222E+18,@ Blankenship Love it @ Blankenship #positive,23/03/2020 22:38
,,
1.24221E+18,"@ century @ Merseyside Daniel, my thoughts are, even if you were tested and was #positive, you would be told to quarantine for 14 days anyway. If symptoms got worse, you then call hospital & amp; possible admission. Knowing status does at really matter. T",23/03/2020 22:15
,,
1.24138E+18,"@ connectable hello madam, how to get permission to install grill on the balcony as a mother is a senior citizen and my brother is handicapped could you please help in getting the permission. We stay at #pleasant park",21/03/2020 14:55
,,
1.24222E+18,The Holy Spirit is a person from which Christians drink liberty. They are baptized by Him with fire for #good works and charity.  (1 Cor.12: 13/ 2 Cor.3:17-18/Gen.1:1-2/John a),23/03/2020 22:39
,,
1.24222E+18,@ Jockeys Getting back Joe loony are #good,23/03/2020 22:27
,,
1.24221E+18,@ Algology @ Burnsian @ Burnsian @ Gamboge Gabo Base is #good,23/03/2020 22:20
,,
1.24221E+18,"@ characters @ chill Well, maybe just a walk alone mumbling to oneself aimlessness of how completely incompetent and criminal trump is #good times",23/03/2020 22:06
,,
1.2422E+18,@ frstldly23 Now this I can get behind #good,23/03/2020 21:34
,,
1.2422E+18,People should not be sleeping on regard Avery. He has #good.,23/03/2020 21:18
,,
1.2422E+18,"And THAT is what makes me happy about this he is #good, and good for her She deserves a nice limbo steps: //t.co/mPtz54o3s9",23/03/2020 21:08
,,
1.2422E+18,"@ Spessartite look, to be clear, I think the proof we have that she is SUPER INTO MO is based on how she looks at him the way she looked at Scott when Scott was still #good and whatever this mess is",23/03/2020 21:03
,,
1.24219E+18,Just sent this man the message game filler not knowing he was Co color blind #nice,23/03/2020 20:31
,,
1.24218E+18,That has a #nice logo steps: //t.co/YMSEfKXo5q,23/03/2020 20:21
,,
1.24217E+18,Nicest fortunate kid give him support #nice steps: //t.co/UPdhGlwuC9 via @ YouTube,23/03/2020 19:36
,,
1.24222E+18,"Hey, if today was not your day, then I just want you to know that things will get better. #positive",23/03/2020 23:00
,,
1.24222E+18,@ Blankenship Love it @ Blankenship #positive,23/03/2020 22:38
,,
1.24221E+18,"@ century @ Merseyside Daniel, my thoughts are, even if you were tested and was #positive, you would be told to quarantine for 14 days anyway. If symptoms got worse, you then call hospital & amp; possible admission. Knowing status does at really matter. T",23/03/2020 22:15
,,
1.24138E+18,"@ connectable hello madam, how to get permission to install grill on the balcony as a mother is a senior citizen and my brother is handicapped could you please help in getting the permission. We stay at #pleasant park",21/03/2020 14:55
,,
1.24222E+18,The Holy Spirit is a person from which Christians drink liberty. They are baptized by Him with fire for #good works and charity.  (1 Cor.12: 13/ 2 Cor.3:17-18/Gen.1:1-2/John a),23/03/2020 22:39
,,
1.24222E+18,@ Jockeys Getting back Joe loony are #good,23/03/2020 22:27
,,
1.24221E+18,@ Algology @ Burnsian @ Burnsian @ Gamboge Gabo Base is #good,23/03/2020 22:20
,,
1.24221E+18,"@ characters @ chill Well, maybe just a walk alone mumbling to oneself aimlessness of how completely incompetent and criminal trump is #good times",23/03/2020 22:06
,,
1.2422E+18,@ frstldly23 Now this I can get behind #good,23/03/2020 21:34
,,
1.2422E+18,People should not be sleeping on regard Avery. He has #good.,23/03/2020 21:18
,,
1.2422E+18,"And THAT is what makes me happy about this he is #good, and good for her She deserves a nice limbo steps: //t.co/mPtz54o3s9",23/03/2020 21:08
,,
1.2422E+18,"@ Spessartite look, to be clear, I think the proof we have that she is SUPER INTO MO is based on how she looks at him the way she looked at Scott when Scott was still #good and whatever this mess is",23/03/2020 21:03
,,
1.24219E+18,Just sent this man the message game filler not knowing he was Co color blind #nice,23/03/2020 20:31
,,
1.24218E+18,That has a #nice logo steps: //t.co/YMSEfKXo5q,23/03/2020 20:21
,,
1.24217E+18,Nicest fortunate kid give him support #nice steps: //t.co/UPdhGlwuC9 via @ YouTube,23/03/2020 19:36
,,
1.24222E+18,"Hey, if today was not your day, then I just want you to know that things will get better. #positive",23/03/2020 23:00
,,
1.24222E+18,@ Blankenship Love it @ Blankenship #positive,23/03/2020 22:38
,,
1.24221E+18,"@ century @ Merseyside Daniel, my thoughts are, even if you were tested and was #positive, you would be told to quarantine for 14 days anyway. If symptoms got worse, you then call hospital & amp; possible admission. Knowing status does at really matter. T",23/03/2020 22:15
,,
1.24138E+18,"@ connectable hello madam, how to get permission to install grill on the balcony as a mother is a senior citizen and my brother is handicapped could you please help in getting the permission. We stay at #pleasant park",21/03/2020 14:55
,,
1.24222E+18,The Holy Spirit is a person from which Christians drink liberty. They are baptized by Him with fire for #good works and charity.  (1 Cor.12: 13/ 2 Cor.3:17-18/Gen.1:1-2/John a),23/03/2020 22:39
,,
1.24222E+18,@ Jockeys Getting back Joe loony are #good,23/03/2020 22:27
,,
1.24221E+18,@ Algology @ Burnsian @ Burnsian @ Gamboge Gabo Base is #good,23/03/2020 22:20
,,
1.24221E+18,"@ characters @ chill Well, maybe just a walk alone mumbling to oneself aimlessness of how completely incompetent and criminal trump is #good times",23/03/2020 22:06
,,
1.2422E+18,@ frstldly23 Now this I can get behind #good,23/03/2020 21:34
,,
1.2422E+18,People should not be sleeping on regard Avery. He has #good.,23/03/2020 21:18
,,
1.2422E+18,"And THAT is what makes me happy about this he is #good, and good for her She deserves a nice limbo steps: //t.co/mPtz54o3s9",23/03/2020 21:08
,,
1.2422E+18,"@ Spessartite look, to be clear, I think the proof we have that she is SUPER INTO MO is based on how she looks at him the way she looked at Scott when Scott was still #good and whatever this mess is",23/03/2020 21:03
,,
1.24219E+18,Just sent this man the message game filler not knowing he was Co color blind #nice,23/03/2020 20:31
,,
1.24218E+18,That has a #nice logo steps: //t.co/YMSEfKXo5q,23/03/2020 20:21
,,
1.24217E+18,Nicest fortunate kid give him support #nice steps: //t.co/UPdhGlwuC9 via @ YouTube,23/03/2020 19:36
,,
1.24222E+18,"Hey, if today was not your day, then I just want you to know that things will get better. #positive",23/03/2020 23:00
,,
1.24222E+18,@ Blankenship Love it @ Blankenship #positive,23/03/2020 22:38
,,
1.24221E+18,"@ century @ Merseyside Daniel, my thoughts are, even if you were tested and was #positive, you would be told to quarantine for 14 days anyway. If symptoms got worse, you then call hospital & amp; possible admission. Knowing status does at really matter. T",23/03/2020 22:15
,,
1.24138E+18,"@ connectable hello madam, how to get permission to install grill on the balcony as a mother is a senior citizen and my brother is handicapped could you please help in getting the permission. We stay at #pleasant park",21/03/2020 14:55
,,
1.24222E+18,The Holy Spirit is a person from which Christians drink liberty. They are baptized by Him with fire for #good works and charity.  (1 Cor.12: 13/ 2 Cor.3:17-18/Gen.1:1-2/John a),23/03/2020 22:39
,,
1.24222E+18,@ Jockeys Getting back Joe loony are #good,23/03/2020 22:27
,,
1.24221E+18,@ Algology @ Burnsian @ Burnsian @ Gamboge Gabo Base is #good,23/03/2020 22:20
,,
1.24221E+18,"@ characters @ chill Well, maybe just a walk alone mumbling to oneself aimlessness of how completely incompetent and criminal trump is #good times",23/03/2020 22:06
,,
1.2422E+18,@ frstldly23 Now this I can get behind #good,23/03/2020 21:34
,,
1.2422E+18,People should not be sleeping on regard Avery. He has #good.,23/03/2020 21:18
,,
1.2422E+18,"And THAT is what makes me happy about this he is #good, and good for her She deserves a nice limbo steps: //t.co/mPtz54o3s9",23/03/2020 21:08
,,
1.2422E+18,"@ Spessartite look, to be clear, I think the proof we have that she is SUPER INTO MO is based on how she looks at him the way she looked at Scott when Scott was still #good and whatever this mess is",23/03/2020 21:03
,,
1.24219E+18,Just sent this man the message game filler not knowing he was Co color blind #nice,23/03/2020 20:31
,,
1.24218E+18,That has a #nice logo steps: //t.co/YMSEfKXo5q,23/03/2020 20:21
,,
1.24217E+18,Nicest fortunate kid give him support #nice steps: //t.co/UPdhGlwuC9 via @ YouTube,23/03/2020 19:36
,,
1.24222E+18,"Hey, if today was not your day, then I just want you to know that things will get better. #positive",23/03/2020 23:00
,,
1.24222E+18,@ Blankenship Love it @ Blankenship #positive,23/03/2020 22:38
,,
1.24221E+18,"@ century @ Merseyside Daniel, my thoughts are, even if you were tested and was #positive, you would be told to quarantine for 14 days anyway. If symptoms got worse, you then call hospital & amp; possible admission. Knowing status does at really matter. T",23/03/2020 22:15
,,
1.24138E+18,"@ connectable hello madam, how to get permission to install grill on the balcony as a mother is a senior citizen and my brother is handicapped could you please help in getting the permission. We stay at #pleasant park",21/03/2020 14:55
,,
1.24222E+18,The Holy Spirit is a person from which Christians drink liberty. They are baptized by Him with fire for #good works and charity.  (1 Cor.12: 13/ 2 Cor.3:17-18/Gen.1:1-2/John a),23/03/2020 22:39
,,
1.24222E+18,@ Jockeys Getting back Joe loony are #good,23/03/2020 22:27
,,
1.24221E+18,@ Algology @ Burnsian @ Burnsian @ Gamboge Gabo Base is #good,23/03/2020 22:20
,,
1.24221E+18,"@ characters @ chill Well, maybe just a walk alone mumbling to oneself aimlessness of how completely incompetent and criminal trump is #good times",23/03/2020 22:06
,,
1.2422E+18,@ frstldly23 Now this I can get behind #good,23/03/2020 21:34
,,
1.2422E+18,People should not be sleeping on regard Avery. He has #good.,23/03/2020 21:18
,,
1.2422E+18,"And THAT is what makes me happy about this he is #good, and good for her She deserves a nice limbo steps: //t.co/mPtz54o3s9",23/03/2020 21:08
,,
1.2422E+18,"@ Spessartite look, to be clear, I think the proof we have that she is SUPER INTO MO is based on how she looks at him the way she looked at Scott when Scott was still #good and whatever this mess is",23/03/2020 21:03
,,
1.24219E+18,Just sent this man the message game filler not knowing he was Co color blind #nice,23/03/2020 20:31
,,
1.24218E+18,That has a #nice logo steps: //t.co/YMSEfKXo5q,23/03/2020 20:21
,,
1.24217E+18,Nicest fortunate kid give him support #nice steps: //t.co/UPdhGlwuC9 via @ YouTube,23/03/2020 19:36
